胸围(cm),腰围(cm),臀围(cm),俄罗斯(RU),国际(INT)
88–91,78–81,94–97,44,XS
92–95,82–84,98–101,46,S
96–99,85–87,102–105,48,M
100–103,88–90,106–108,50,L
104–107,91–94,109–112,52,L/XL
108–111,95–99,112–116,54,XL
112–115,100–107,116–120,56,XXL
116–119,107–110,121–124,58,XXL
120–124,111–115,124–128,60,XXXL
125–128,116–120,129–133,62,XXXL/4XL
128–131,121–125,133–134,64,4XL
132–135,126–130,134–136,66,4XL
136–139,131–136,137–140,68,5XL
140–143,137–140,141–144,70,5XL
144–147,141–144,145–148,72,6XL
148–151,145–148,149–152,74,7XL
152–155,149–152,153–156,76,8XL
156–159,153–156,157–160,78,9XL
160–163,157–160,161–164,80,10XL
164–167,161–164,165–168,82,10XL
