年龄,身高(cm),胸围(cm),腰围(cm),臀围(cm),俄罗斯尺码-身高,俄罗斯尺码(RU),国际尺码(INT),美国尺码(US),英国尺码(UK)
0-1个月,50,36–39,41–43,41–43,50,16,50/1M,新生儿(NB),2
2个月,56,40–44,43–45,43–45,56,18,56/2M,0/3,2
3个月,62,45–47,45–47,45–47,62,18–20,62/3M,0/3,2
6个月,68,47–49,46–48,47–49,68,20,68/6M,3/6,2
9个月,74,49–51,47–49,49–51,74,22,74/9M,3/6,2
12个月,80,51–53,48–50,51–53,80,24,80/12M,6/9,2
18个月,86,52–54,49–51,52–54,86,26,86/18M,S/M,3
2岁,92,53–55,50–52,54–56,92,28,92/2年,2–2T,3
3岁,98,54–56,51–53,56–58,98,28–30,98/3年,2–2T,3
4岁,104,55–57,52–54,58–60,104,30,104/4Y,3T,4
5岁,110,57–59,53–55,60–62,110,32,110/5Y,4T,4
6岁,116,59–61,54–56,61–64,116,32–34,116/6Y,5-6,4
7岁,122,61–63,55–57,64–67,122,34,122/7Y,5-6,6
8岁,128,63–65,57–59,67–70,128,36,128/8Y,7,6
9岁,134,65–68,58–61,70–73,134,38,134/9Y,7,8
10岁,140,68–71,61–63,73–76,140,38–40,140/10Y,S,8
11岁,146,71–74,63–65,76–79,146,40,146/11Y,S,10
12岁,152,74–77,65–67,79–82,152,40–42,152/12Y,S/M,10
13岁,158,77–80,67–69,82–85,158,42,158/13Y,中/大,12
14岁,164,80–83,69–72,85–88,164,42–44,164/14Y,L,12
15岁,170,83–87,72–76,88–92,170,44,170/16Y,L,12
