胸围(cm),腰围(cm),臀围(cm),俄罗斯(RU),国际(INT)
70–75,53–57,80–82,36,3XS
76–80,58–62,83–86,38,XXS
81–83,63–65,86–88,40,XS
84–87,66–69,89–93,42,S
88–92,70–74,94–98,44,S/M
93–97,75–78,99–102,46,M
98–100,79–82,102–104,48,L
101–104,82–86,105–108,50,L/XL
105–107,87–95,109–113,52,XL
107–110,96–102,114–118,54,XXL
111–116,103–106,119–122,56,3XL
117–121,107–110,123–126,58,4XL
121–123,110–112,126–129,60,4XL
124–127,113–115,130–133,62,4XL
128–131,116–118,134–137,64,5XL
132–135,119–122,138–141,66,5XL
136–139,122–125,142–145,68,6XL
140–144,126–129,146–149,70,6XL
145–148,129–132,150–153,72,7XL
148–151,133–136,153–157,74,7XL
152–155,136–137,158–161,76,8XL
156–159,138–141,162–165,78,8XL
160–163,142–144,166–169,80,8XL
